monica,make fifty
monica,nearly shouting one thousand
chandler,interrupting her
monica,going through her pockets chandler and phoebe either you girls got quarter
chandler,honey try focus the trash talk him
phoebe,picks coin from her bra monica you call
monica,heads tails heheheads
phoebe,tails
monica,angry what are the chances
monica,point
phoebe,smiling proudly was lawyer
rachel,weather bitch turns the off
rachel,its open joey walks joe
joey,downhearted hey
rachel,worried what everything
joey,charlie and broke
rachel,nooooo why
joey,well she said have nothing common
rachel,laughing thats crazy
joey,its not have nothing common
rachel,yeah its true
joey,mean she should with someone like ross you know what mean uses all those big words too man smart people are dull
rachel,pretending offended what hey
joey,laughing sarcastically rach
joey,feel stupid you know why why keep going after the wrong girls
rachel,wwhat are you what are you talking about
joey,cmon mean theres you then theres charlie and its like sighs what the hell problem falls back the bed
rachel,maybe youre not always going after the wrong girl
joey,sitting again telling you rach charlie not right for
rachel,yeah not talking about her
joey,but then who the waitress went out with last month gives her meaningful look
rachel,you know forget
joey,stands nononono who who were you talking about
rachel,iiii dont actually dont know who talking about
joey,all right well gon see can get room for the night and ill ill see you later
rachel,yeah sure
joey,you like shuts the door
rachel,nearly whispering lets not make big thing about this
joey,shocked thats huge thing
rachel,not working with joe heres the thing lately have been having thoughts pauses musings you will
joey,what for how long
rachel,only like month
joey,outraged month
rachel,what the dial down joey goes sit the bed listen and maybe theyre crazy thoughts but sometimes have ive been thinking about you know looks joey whos totally distraught dial little
joey,stands just have one question
rachel,shoot
joey,desperate what the hell are you doin
rachel,dont know not trying anything its just have such good time when were together you know mean arent you just little curious insinuating what that would like
joey,curious mean curious george
rachel,puzzled who
joey,curious george you know the monkey and the guy with the yellow hat
rachel,yes course remember him
joey,yeah had paper route
rachel,yeah did smiling see this what talking about
joey,know yeah know were great but rach this this cant happen
rachel,but can just happen little bit
joey,charmed but then recoiling cant happen all
rachel,but why why not
joey,because look one wants this happen more than trembling voice have gone over this moment head hundred times and not once did ever say sighs couldnt ross
rachel,but that wasnt gon stop you before
joey,know know but ive thought about lot since and just wouldnt right painfully sorry
rachel,regretful sorry too they look each other sadly then she recollects and puts her hands over her eyes god shouldnt have said anything
joey,nononononono hey hey well fine hey like you said big deal
rachel,its not big deal
joey,big deal
rachel,its not big deal
joey,yeah ill see later yeah
rachel,aaahhhh
monica,ooh sorry think think that may have missed the table
monica,yeah
monica,yeaaah
monica,yeaaaah
chandler,phoebe you really find this attractive him
phoebe,looking mike yeah turning chandler are you telling you youre not even little turned monica right now
chandler,think this the first time our marriage that ive felt like the more attractive one
phoebe,cmon mike you can beat her knock that dog off her head
monica,damn
phoebe,pointing mike and shouting sleep with him
monica,threatening dont get too cocky remember won the last one the way how did that feel losing girl
monica,nooo
chandler,okaydokay youve each won game and ive lost whats felt like year life everybody goes home winner
monica,best out three
chandler,should use invisibility fight crime for evil
monica,mike serve the ball chump
phoebe,mike mike better come back mike better come back
ross,ooh well kinda have got lot plate right now not that wouldnt love weekend the country with strange man oberblau giggles
ross,get out
ross,yes please they move and sit down sofa whats going
ross,god whwhat happened
ross,knew that was him
ross,holding her hand hey you
ross,professor clerk were kind the middle conversation here
ross,standing gentlemen please arent little old for this mean were scientists right were academics and most importantly youyou will have catch first starts run away with charlie the paleontologists starts chasing them
chandler,exhausted look enough enough
monica,have just have two more points beat him
chandler,monica that was also true hour ago mean please look you your hand blistered you can barely stand your hair inexplicable youve already proven you are just good now weve missed our dinner reservations now lets just upstairs order room service take shower and shave your head
monica,cant just walk away ive put four hours
chandler,but
monica,look you knew this about when you married you agreed take sickness and health well this sickness
chandler,what about the obsessive cleaning
monica,thats just good sense
monica,pain aww she holds her hand moaning like shes biting back scream
chandler,you
monica,honey shake off she shakes the wrist and its more painful shaking shaking ooh ooh pause god cant play
phoebe,mike wins
monica,cant believe pause lost
chandler,you didnt
monica,what
chandler,because gon play for
phoebe,you cant that
phoebe,were taking that paddle home mister
monica,chandler honey you dont have this
chandler,loving voice yes now may not understand why you have win badly but its important you then its important because love you
monica,but you suck
chandler,still loving voice youre welcome sweetheart
chandler,all right mike lets get this over with sudden death whoever wins this point wins
monica,god youre good
phoebe,its like watching porn
chandler,and thats how its done
monica,chandler god that was amazing when did you pause hold almost forgot she turns mike loser back chandler when did you stop sucking
chandler,never sucked actually didnt want you know how good was
monica,why
chandler,dont know
monica,this great now can enter into doubles tournaments
chandler,thats why
ross,yeah the bartender said that they split into two search parties the herbivores and the carnivores pause you know group are not the coolest
ross,dont think they saw
ross,apparently unruffled can can ask who
ross,think know too but ive been really wrong about this stuff the past
ross,sorry cant
ross,mean you just went out with best friend and just think itd really really bad idea pause oror not they kiss passionately
rachel,what
person,dialogue
chandler,you and rachel tonight
joey,yeah its actually our first official date
chandler,wow tonight may the night youre nervous
joey,naa this the part actually good
chandler,what must like not crippled fear and selfloathing
joey,pause its
chandler,how can you confident
joey,well know exactly what gon
chandler,really like you have routine
joey,see each woman differentyou have appreciate their uniqueness
chandler,really
joey,six things first look deep her eyes then kiss her next take hand and softly graze her thigh
chandler,you mean like this starts touching his thigh funny and awkard way
joey,not like that like this starts lightly grazing chandlers thigh
chandler,see what you mean thats quite nice they look each other both embarassed
joey,more foosball
chandler,and beer
monica,entering hey
monica,chandler hey sweetie they kiss
ross,looking monicas legs wow
chandler,hey stop staring wifes legs stop staring your sisters legs
ross,sorry its just how did you get tan
chandler,she went one those sprayon tan places
ross,you got sprayon tan
monica,chandler gets pedicures
ross,laughing why why you like with thethe toe separators
chandler,monica whywhy
ross,still cant believe thats sprayed mean looks really good wonder should get one
chandler,sure then you should get mini skirt you can really show off
ross,you get colours just french tips
monica,there heres their card
ross,thanks takes the card hey know where this place used xrated video pauses when realizes what saying florist goes away
phoebe,hey
chandler,hey pheebs
monica,hey phoebe
phoebe,you wont believe who moved back town
monica,know amanda she called too shes the worst
chandler,whos amanda
monica,shes this girl who used live the building before you did then she moved england and she picked this fake british accent the machine this her message she apes amanda using awful british accent monica darling its amanda calling
chandler,are you trying british accent
monica,pause phoebe chandler gets pedicures
chandler,just know how many more those can expect
phoebe,you know what amanda said when she got the phone apes amanda british accent sorry catch you your mobile ifif you dont wan get mobile dont call mobile
monica,know and shes always bragging about all the famous people shes met
phoebe,know ohi slept with billy joel all right who hasnt
monica,what are gon dont wan see her
phoebe,ugh lets just cut her out
monica,what
phoebe,cut her out our lives just ignore her calls and dodge her till she gets the point
monica,guess could try that but seems harsh chandler have you ever done that
chandler,had done though feels good
ross,well like how you look what are you
ross,two think two
ross,spray count pat then turn spray count and pat
ross,well have phd assistant walk out not impressed this statement ross takes his bathrobe off and enters the tanning booth stands front the red light and the sprayer starts and sprays his face and torso
ross,one mississipi two mississipi three misthe sprayer starts again spraying him the face and torso again wait wait notive not finished counting leaves the booth the assistant enters the room
ross,you sprayed front twice
ross,barely even got three mississippi
ross,mississippilesly pause well how bad
ross,how dark gon get
ross,four
ross,sarcastically really
ross,annoyed
ross,wait wait minute theres light the back wall how know when its gon start hello slowly turns and the spraying begins his face turns but then turns again and sprayed the front again spits and angrily goes out the sprayon tan booth and the assistant enters the room the same thing happened again
ross,hysterically eight
joey,thought you paid rachel does not answer and seems puzzled guess wont going back there
joey,yeah
joey,hey what you say move this onto the likes the couch
rachel,say cheesy line but
joey,whats the matter
rachel,sorry dont know sorry dont know why did that
rachel,sorry
rachel,sorry again dont know dont know what happened must nervous
joey,dont get chandler loved
rachel,promise promise promise wont again really promise this gon great
joey,little giddy was that good for you
phoebe,yeah could rachel asking someone could babysit again
monica,could amanda
phoebe,youre right was just kidding about rachel babysitting gas
monica,youre from yonkers your last name buffomartisis
phoebe,dont hold thy breath
chandler,hello someone the line
chandler,hang shes right here enters the living room and hands the phone monica someones the phone for
monica,werent picking its amanda
chandler,amanda get pedicures
monica,amanda actually now its not good time dinner tomorrow night phoebe mouths phoebe and will see you then
phoebe,why why why didnt you just say
monica,well said her coming over now couldnt say twice get this uncontrollable need please people
phoebe,leaving fine fine you would not hold well under torture
monica,and you would
phoebe,did
rachel,absolutely absolutely its just little weird its you and its its just gon take some getting used
joey,well how how can make easier
rachel,lets work from the top down joey nods but then puzzled because does not get just work the bra joe
joey,yeah got
joey,this thing welded shut
rachel,okay
joey,all right turn around got get look this thing
joey,sorry
rachel,well this romantic
joey,sorry stands this never happened before expert taking off bras can with one hand can with eyes closed one time just looked one and popped open blame your bra
rachel,its standard issue bra clasp
joey,then blame you yeah thats right you threw off with all your slapping
rachel,well well really sorry about that joey but you think that maybe some level you dont want take off bra
joey,contemplates for few moments what rachel just said nah dont have another level
chandler,hold there something different
ross,went that tanning place your wife suggested
chandler,was that place the sun
ross,and gets worse turns his side chandler and monica and pulls his shirt theres distinct line across his body where his belly very tanned and his back very pale
chandler,god you can duet ebony and ivory all yourself
monica,how could you mess this its easy you into the booth you count five and you turn around
ross,looks her suspiciously how you count five
monica,one two three
ross,yells damnit goes the door leave rachel just enters sees him and starts laughing
rachel,laughing oooh
ross,still yelling know
rachel,what with miss hawaiian tropic
chandler,how was your date with joey
rachel,well was good until got back our apartment and then were fooling around and started put his hand leg and kept slapping away
chandler,you didnt like that
rachel,well wasnt just alright freaked out too couldnt even undo bra
monica,wow really one time just looked bra and popped open
rachel,not know whats wrong with mean have kissed before and thats been great but this time was leading somewhere and was very aware the fact that was joey touching
monica,well you guys have been friends forever remember the first time that you kissed ross how weird that was you couldnt stop laughing you got through that
rachel,looking thoughtful thats true thats true can this youre right youre right can this were just gon power through
joey,hey chandler can talk you for second points the hall
rachel,joey need problem solved are powering through which point she grabs his hand and pulls him back their apartment
monica,sees what doing chandler stop not going pop open
chandler,without taking his eyes off the bra you dont know monica just smiles
monica,hey phoebe
phoebe,hey
monica,amanda here yet
monica,sits down good good look sorry for screwing that cuttingherout plan but have new plan chandler agreed call here few minutes with emergency
phoebe,well what kind emergency that gets both out here
monica,well what you think mike and chandler being car accident
phoebe,makes face are you kidding love
monica,beaming yeah yeah his name chandler and
phoebe,musty
joey,okay ross realise that you didnt expect walk and see that but let explain okay
rachel,werent doing anything
joey,rach just saw
rachel,shhh
joey,but what you saw that the extent okay one kiss
rachel,come that lie also kissed barbados
rachel,yeah you started ive got chill
joey,look probably should have talked you about this before ever happened but
rachel,feel terrible about this ross
monica,when were not friends
monica,ehm were friends
monica,phoebe you were going cut out
phoebe,wellkinda
monica,god
phoebe,yeah well america youre just ass
monica,into the phone hello chandler whats wrong she listens god are you alright listens some more yeah ill right there she hangs and speaks amanda sorry but chandler was car accident she gets
phoebe,also gets and starts taking her purse god was mike with him
monica,nope she turns and leaves
joey,rachel hey
rachel,hey got champagne
joey,yes maam ready power through
rachel,excellent stick the ice bucket the phone off the hook and the interest powering through starts remove her bra from under her clothes
joey,when shes done she throws her bra him
rachel,starts light some candles sexy sexy very sexy sexy claps her hands and jumps joey clearly very excited alright lets
joey,youre scaring little bit
joey,yeah but did happen
joey,ross
rachel,ross joey can just close the door
rachel,ross say something anything
ross,you two are
ross,and have you
ross,but hadnt walked here would you
joey,probably
rachel,ross this not how wanted you find out about this you have every right nuts
ross,not going nuts you see nuts
rachel,but you know what mean
ross,hey hey hey you two are happy then happy for you squeaky fine
joey,really
rachel,get over soldier weve got this she pulls him towards her and throws him onto the barcalounger aha you like that huh
joey,yeah
rachel,you like that she climbs the barcalounger seductively putting her knees next joeys hips lets take this into high gear she pulls the barcalounger lever and seat reclines she puts one her knees between his legs and begins kiss his neck
rachel,yeah baby ill show you how
joey,you kneed misters
rachel,what god sorry joey are you
joey,just sits there legs very close together with painful look his face soldier down
monica,are not friends with phoebe anymore
chandler,she asks protested little but
phoebe,chandler thank god youre alive monica can talk you outside for minute
monica,have nothing say you
phoebe,please monica the hall
chandler,well arent you treat
monica,cant believe you tried cut out why phoebe why
joey,enters the room hey you guys what are you doing tomorrow night
chandler,browsing through diary well let see believe yes falling asleep front the
joey,look agent hooked with six tickets great play
chandler,could fall asleep play
phoebe,what
joey,its onewoman play called why dont you like bitter womans journey through life
monica,sounds interesting
ross,yeah does sound interesting mean listen woman complain for two hours dont think gets bett ross starts snoring faking fall asleep
phoebe,know know can drive can vote can work what more these broads want
ross,absolutely very squeaky fine totally fine dont know why its coming out all loud and squeaky cause really deep voice fine not saying wasnt little surprised see you guys kissing mean first was like screams but now that ive had time absorb lovin this
joey,ross
ross,its all working out charlie and you two you know what should
rachel,calm ourselves
ross,should all have dinner yes well tomorrow night ill cook
joey,look dont you think that will little weird
ross,weird what whats weird the only thing weird would someone didnt like mexican food because making fajitas storms off
joey,like fajitas
monica,god this adoption stuff overwhelming theres intercountry adoption dependency adoption there are many ways and this like the biggest decision our lives
chandler,theres hair coffee
phoebe,hey guys
monica,hey
phoebe,hey have you seen frank cause hes meeting here with the triplets
chandler,you know its funny every time you say triplets immediately think three hot blonde year olds
monica,thats sweet drink your hair
phoebe,was right after were living together and you were driving crazy okay you were really controlling and compulsive and shrill
monica,still all those things
phoebe,youre also generous and kind and scrappy
monica,starts smiling scrappy
phoebe,exactly look matter what tried couldnt keep you out life all the people have cut out you were the only one who ever clawed her way back
monica,its because scrappy
phoebe,yeah you are and glad that you fought your way back because dont know what would without you
monica,wont know what would without you
monica,well guess should back when you gave another chance guess should the same for amanda
phoebe,yeah guess youre right
ross,gon stop you right there glenda okay does look like this first time huh now want twos and want them all back
ross,wait minute theres two sets nozzles which one
ross,which which which which one
ross,son bitch
rachel,what the matter with
monica,the way you crushed mike ping pong was such turnonyou wan plays with her finger chandlers chest
chandler,you know love but little tired
monica,ill put pillowcase over head
chandler,youre
phoebe,hey
monica,whats
phoebe,well okay mikes taking shower which the way theres law against and then were gon grab some food you want
ross,finally
phoebe,that ross
joey,you guys are gon have great time promise
ross,what how come that you dont have
joey,wish could but just found out that have work really early the next day cant but you know take the extra ticket and invite whoever you want
chandler,browsing through diary lets see who hate
rachel,gets from the sofa and moves the kitchen but joey blocks her way sorry oops sorry
joey,lifts rachel and moves her behind him she can walk hey here you
rachel,ooh oooh pause rachel all bahjiggity about joey pause monica can ask you question
monica,yeah
rachel,you think its possible for two friends fool around and and not have big deal
monica,dont think ever works why
rachel,reason
monica,rachel
rachel,yeah
monica,who you wan fool around with
rachel,with high pitched voice nobody forget
rachel,giggling and whispering maybe
phoebe,hey whats all this stuff
monica,theyre brochures from different adoption agencies
phoebe,ooh babies this one cute get this one
monica,thats not really how works
phoebe,how does work
monica,dont know
phoebe,well youre having hard time you should talk friends bill and colleen they adopted kid sure theyd help you
monica,thanks that would great hey honey wouldnt that great
phoebe,hey
phoebe,good see you
monica,frank
monica,goodness theyve all gotten big
monica,which one which again
joey,well know whats the matter with
rachel,mean with you know mean supposed this difficult
joey,dont know
chandler,that fake british woman real bitch but she sure can dance hey
rachel,hey listen can ask you question when you and monica first hooked was weird going from friends more than that
chandler,kinda you know sneaking around having hide from you guys
rachel,mean sexually
joey,yeah was there part you that felt like was really wrong
chandler,actually felt right you know felt like uhm cant believe havent been doing this the whole time
chandler,can tell from your expressions that thats the good news you were hoping for well gon continue spread the joychandler leaves the apartment joey sighs
rachel,well just because happened that way for them doesnt mean has happen that way for
monica,yeah you can hear everything through these stupid walls
phoebe,sounds like hes with someone
chandler,could alone this morning heard him pushups and then talk his triceps
monica,wait minute think phoebes right you know hear someone else there with him
ross,god youre amazing didnt even have ask you call that
monica,god thats charlie
chandler,shes cheating joey with ross
phoebe,that tart floozy giant
monica,not sure about this
phoebe,yeah youre right this none our business
monica,not sure that its the best way hear everything someone get glass
phoebe,not gon this okay not gon eavesdrop friend
rachel,through wall ooh love barbados
joey,ooh cant believe kissing you kissing rachel
rachel,know her
phoebe,whispering rachel and joey its rachel and joey
monica,whispering you cant
rachel,whispering why monica gesticulates mumbling something that starts with because seriously did not understand word that you said
monica,the hall
monica,you wan fool around with joey
rachel,yeah you know ever since had that dream about him and cant get out head and whats the big deal people all the time
monica,who who you know that are friends that just fool around
rachel,off the top head don and janet
monica,who who are they
rachel,know them from work
monica,both them
rachel,one them
monica,which one
rachel,dont know what were the names just said
monica,rachel things can get incredibly complicated
rachel,all right all right youre right wont anything with joey just thought that joey enters the hall that would two cups tarragon one pound baking soda and one red onion joey enters his apartment
joey,can just say know were doing this for ross and thats cool but was this not what wed doing our first date
rachel,well what would doing
joey,take you out for romantic night some champagne fancy dinner feel you the carriage ride home
rachel,feel
joey,carriage
joey,hey charlie
rachel,hey
rachel,you bet
joey,did you bring little something for ross
joey,thanks
joey,yeah didnt throw any that out
ross,thought heard voices charlie kisses her joey hugs him and youre gon have introduce your new girlfriend laughs just kidding know rachel know squeezes her hand come please come come
joey,yeah yeah absolutely mean just because somethings difficult doesnt mean that you quit
rachel,right totally
joey,yeah just keep trying and trying until
rachel,yeah and doesnt work then well just one those couples that never have sex
joey,thats plaan
joey,sighs wow did not see this coming
rachel,know
joey,dont get mean was sure this was what wanted
rachel,hmmm too
rachel,wonder how monica and chandler could
joey,guess they werent good friends are
rachel,aah bet youre right
rachel,yeah
joey,love
rachel,love you too alright going bed
joey,yeah too
monica,what
phoebe,get over here
rachel,ooh
chandler,wow
monica,her monicaexcitedway too loud god love how thin these walls are
monica,muffled thank you
rachel,hey you know before you said that nothing could happen between what changed
joey,well only said that because ross you know then saw him kissing charlie
rachel,what ross and charlie joey nods wow shes really making her way through the group huh who talk
monica,cant believe this rachel and joey
chandler,how about the dinosaur twins the other room noone manning that wall
chandler,anything
monica,think hear curtains closing
phoebe,weve got shoes being kicked off over here
monica,bedsprings unmistakable
monica,what the hell are you cooking
ross,hey
monica,hey
chandler,hey
ross,hey you guys wont believe what have for work today
chandler,yes but ross you chose career talking about dinosaurs
ross,covering with his hand chandlers face like pretending hes not there monica therere these two professors who are joining department and have meet them here and show them around campus
monica,whats bad about that
ross,its just know theyre gon couple windbags wearing tweed jackets with suede elbow patches
monica,fingering her elbow ross
ross,looking his elbow where theres patch these arent suede
ross,ross geller
ross,thats thats thats nice
ross,its big deal mean werent doing this just you know the gym working out
rachel,okay well brought you some wine
ross,that thoughtful joey shes keeper and what did you bring grabs the bag that charlie brought for joey
joey,actually thats
ross,underwear toothbrush and van halen can use all these things
ross,what fine because arent you arent you arent you you see who else fine
joey,okay listen hey ross why dont you try relax okay maybe have drink
ross,you know what that very good idea gon make pitcher margaritas
phoebe,god adorable look them sleeping there like angels
phoebe,well they may handful but theyre cute
phoebe,god the last time babysat them they did the funniest thing
phoebe,thats thats long time
phoebe,yeah know frank counted them when they were coming out area
phoebe,what
phoebe,god frank are you thinking leaving because didnt have those triplets you could just run out them
phoebe,what you cant separate them thats terrible which one
monica,thank you much for seeing phoebe has told such great things about you guys
joey,ooh yeah not going anywhere for while
chandler,dude its chandler let
ross,away dont want see anybody
chandler,know went the tanning place and the same thing happened you have let
ross,really did you count mississipily
ross,dude youre not tanned
chandler,just had get picture this
chandler,see you later
chandler,you realise thats your brother
monica,not until you said somebody switch chandler makes clicking sound with his fingers and phoebe runs the other wall monica returns chandlers wall wait minute ross and charlie joey and rachel phoebe and mike were the only people leaving with the same person came with
chandler,thats not true came with monica and leaving with weird
monica,okay ive had with the hair jokes tomorrow morning before leave going the salon
chandler,okay buckwheat
phoebe,you got hear this its great its like free porn chandler eagerly rushes over
ross,wehsigh
ross,yeah its just dont think can this
ross,theyre moving the side the bed where they sit down look need talk joey mean you guys just broke before anything more happens between need know hes okay with
ross,alright gon find them twitches bit looks down just need need before can you know gestures standing they sit and wait for while grandma grandma grandma tries concentrate okay see you later
phoebe,thats the door hes gone
chandler,and shes turning the and watching miss congeniality
monica,chandler gon introduce
chandler,monica think were just blurry shapes him now
ross,wrote that one minute
monica,chandler twenty bucks says theyre married within the month
ross,hitting monica with his suitcase charlie should probably get going you know got lot ground cover
ross,dont think
ross,well hes obviously late and the rule class you cant come time then dont come all pause option that many students use pause shall
ross,you know what hes big boy sure hell find
ross,damn
joey,entering the room hey
rachel,hey
joey,whats happenin
rachel,yeah its real shame you cant make that onewoman show tonight
chandler,lot malfunctioning weewees and hoohoos this room huh
chandler,mean you have lovely home
monica,well appreciate anything you can tell
monica,god
monica,thank you chandler think just had tiny orgasm
chandler,thats great monica can see the book
chandler,you want wash hands first dont you
monica,its its just pretty and white
monica,can adopt you
chandler,hey you must owen
chandler,chandler hey was the scouts too
chandler,yeah fact father was denmother
chandler,you know how use compass
chandler,you thats fantastic
chandler,love but got get back talking your parents theyre telling all about how they adopted you
monica,honey you know through wall you know too well
ross,hey what are you guys doing
phoebe,were just were sad were just saying goodbye the hotel hugs the wall love you paradise hotel golf resort and spa she walks away from the wall
monica,also hugs the wall yeah had great time thank you walks phoebe
chandler,caresses the wall with his finger bye
ross,okay uhm hey you guys seen joey anywhere
chandler,hes probably his room with his current girlfriend charlie thats the situation know walks phoebe and monica
ross,well you see him could you please tell him looking for him
chandler,you got
ross,thanks walks out the room and starts hugging the wall thank you closes the door
monica,other wall people other wall
ross,knocks door rach you there joey and rachel both get from the bed
joey,god its ross what are gon
rachel,jujujust stay calm just calm for all knows were just hanging out together right just nonchalant joey like stands attention with his chest forward and his hands his sides looking the ceiling with his lips pouted thats not nonchalant
joey,idea what means
joey,love but got get early the next day and you know work comes first
rachel,yeah yeah yeah she plays the answering machine
joey,yelling stupid jane rogers
rachel,angry you are having party tonight
joey,kinda have thing for the days our lifes people
rachel,and you werent going tell how did you think you were gon get away with that
joey,every year
rachel,you that every year
joey,didnt have tell you that stupider than jane rogers
rachel,thats why you got these tickets that play get rid
joey,yeah
rachel,and last year that why you sent that medieval times restaurant
joey,yeah
rachel,and the year before that when you set that nighttime tour that button factory
joey,smiling cant believe you guys went for that one
chandler,what
chandler,got nothing
ross,the first batch margaritas was not great but the second batch gooooood
rachel,well maybe the next batch could all get some
ross,guys this fun isnt you know just the four just hangin
joey,dude are you okay and when are the fajitas gon ready
ross,fine hey great just just proud theres weirdness tension
rachel,awareness
ross,make great foursome should more stuff together ooh lets take trip okay where you think can
ross,fajitas
rachel,look charlie just want you know ross just having little trouble adjusting the thought joey and you know normally doesnt drink like this
ross,fajitas careful very hot plate very hot plate
rachel,ross you dont even have oven mitts
ross,that gon hurt tomorrow
phoebe,okay well this crazy cant seriously talking about taking one your kids can
joey,talking pineapple his hand god youre beautifulwhy are fighting thisyou know you want happen much
joey,want youi need youlet make love you
rachel,dont wan stand the way true love anything but think canelope might hurt less
joey,ehmimim rehearsing linesthey gave big romantic story days our lives its the first time characters got one nervous you know really want good
rachel,woowi havent seen you this worked since you did that dog food commercial and you thought you were gon with real talking dog
joey,yeah that was disappointmentpause heydyou want come down the set and tell doing
rachel,excited are you serious
joey,yeahhey you just have promise not get yourself thrown out again
rachel,speaking herself and reading cosmopolitan lucky coffee and live sex show
rachel,sorry not was justi was just reading emma
rachel,yeah yeah its climax your way better skin
joey,you need someone who knows fashion tell you what looks good
rachel,hiding herself behind the magazine and whispering not not not not not
joey,hey rach
rachel,yeah
joey,maybe you could take charlie shopping
rachel,okay just hide
ross,knocks rach
rachel,coming try under the bed try under the bed
rachel,theres room under the bed looks around because she cant find joey anymore
ross,everything okay
rachel,yeah still looking see where joey went and opens the door
ross,hey
ross,you know where joey
rachel,really dont looks around again
ross,can talk you for minute
rachel,yeah sure looks outside into the corridor joey there
joey,dont believe this have you guys been
phoebe,shhh this the listening side the wall
ross,and then she told that she and joey had broken and that part the reason was that she had feelings for
rachel,clearly not listening and still trying find out where joey went uhhuh right yeah
ross,and you know wanted ask charlie out since the day met her
monica,its weird how did joey end kissing charlie last night thought youd end kissing charlie
ross,hey thought end kissing charlie too but surprise
chandler,missed most the party pause charlies girl right
ross,yes she this new professor department that did not kiss
rachel,dont know why joey had kiss her mean all the girls the party god
ross,why you care much
monica,yes rachel why you care much
rachel,worried because ross the father child you know and want him hook with lots women pause just all saying dont think that joey and charlie have anything common
joey,monica hey can borrow the porsche
joey,alright
monica,but ehmwhat not
joey,abashed place entertain lady friends
monica,and what else not
joey,even more abashed place eat spaghetti
monica,very good gives him the keys what you need for anyway
joey,well the powerball lottery upto million and they dont sell tickets here new york
rachel,joey why wouldnt you invite your parties
joey,youre fine but everyone else acts like idiot around famous people
rachel,well then you just invite
joey,speaking aloud please was trying nice youre the worst one
rachel,joey come please please let come will behave promise will behave please please please
joey,fine you can come but dont tell anybody else its the roof
rachel,yelling and jumping like child soap opera roof party going soap opera roof party god god realizing how shes behaving and its out system
ross,very bored tries avoid the conversation speaking charlie where did you get your undergraduate degree
ross,charlie its not over
ross,basically all nuts
ross,ive lost the will live
ross,what
ross,fine but ehm just have one question for you ehm aping professor spafford when exit should walk run prance stroll
ross,entering with charlie hey you guys this charlie charlie this phoebe and sister monica
phoebe,insane
phoebe,alice would never for right
phoebe,well just you know for arguments sake you know hypothetically which one would you willing give
phoebe,frank jrjr
phoebe,uhhuh
phoebe,well alright thats fine what about leslie
phoebe,alright that leaves chandler
phoebe,wow frank think just ran out kids
phoebe,sorry frank didnt realise things were bad you know ill help out more can can babysit any time you want you name the day and ill there
phoebe,well thats not good but you know can move some stuff around and ill there you and alice just take the whole day together
phoebe,are you kidding thats what sisters are for
chandler,where are bill and colleen
monica,theyre the kitchen getting something eat can you believe how nice they are
rachel,hey that was honest mistake
joey,righthe starts ape heroh god this the mens room feel foolish have you always known you wanted actor inclines his head look mans private parts
rachel,yeah that was awesome day
monica,hey
phoebe,hey
monica,you guys wan come and eat dinner the restaurant sometime the next few weeks
phoebe,sure
ross,love
monica,well you cant were booked solid for the next month
phoebe,well cant give you massage because licence has been revoked again
rachel,well
joey,are you kidding rachel loves shop and she has great taste yeah shes the one who taught you dont wear white after labour day and that you always always always have put underwear when youre trying clothes
rachel,uhuh letslets shop
joey,charlie youre gon come back with some very classy clothes aside rachel and some slutty lingerie slutty
phoebe,entering and talking mobile phone great all right bye she hangs pain the ass she looks the others then back the phone thats off right
joey,whats the matter pheebs
phoebe,mikes sister just invited party tonight hes gon there and she was like dont worry asked him hes totally with seeing you now have hell think that totally with seeing him
rachel,which youre not because youve totally hung him
phoebe,exactly
rachel,and youre gon want him eat his heart out youre gon have look fabulous
phoebe,after short pause didnt even think about that pause aaargh sexual politics
rachel,hey pheebs imim taking charlie shopping why dont you come and ill help you find something
phoebe,thatll great
joey,aint that nice the three you trying slutty lingerie together
rachel,thats not what were gon
joey,why would you ruin who was that hurtin
rachel,still searching know know its been really hard for you
ross,anyway one thing lead another and before you know were kissing mean how angry you think joey gon
rachel,now looking the ceiling that hard say ross that hard say
ross,you know got find him hes got here someplace
rachel,you would think
rachel,joey
joey,gone
rachel,still cant find him how are you doing this
joey,pssst
rachel,how wha hey what are you what this have you guys been listening this entire time
phoebe,now what this
rachel,what this well lets see kissed for ten minutes and now were talking our friends about guess this sixth grade
phoebe,have you thought about how complicated this could get what about ross
joey,well hes with charlie now
monica,yeah but wants talk you before anything really happens with her and his friend mean dont you think deserves the same from you
joey,long pause and twitches bit youre pain ass geller
rachel,all right look you guys look appreciate all the advice but this between joey and and think can handle
ross,dont know they seem have shared interest each others tonsils
phoebe,wow joey and professor can you imagine they had kids and the kids got her intelligence and joeys raw sexual magnetism those nerds will get laaaaaid
rachel,all right ross youre with all this mean
ross,yeah its big deal mean just met her and fine with
ross,god forgot how hot she was
joey,hey
ross,gon get some more coffee
ross,they both
chandler,joey professor
joey,yeah she cool and shes smart her mind totally acrimonious which being joey mispronounces amonious pause thats not how she used
ross,uhm think less you dont think less you mean you saw someone you liked and you kissed them mean those people who like someone and dont kiss them thosethose people are stupid hate those people
ross,yeah know the type
rachel,youre driving connecticut
joey,hesitates for momentyeah connecticutnot west virginia
monica,hey maybe ill drive you there like buy some tickets myself
monica,yeah with chandler not getting paid could really use million dollars
chandler,yeah because was old job wed say million thank you
phoebe,hey will you get tickets too
rachel,yeah too have idea why dont all pitch bucks well pool our money together and then win well split
ross,thanks
phoebe,you dont wan win the lottery
