person,dialogue
joey,like odds
ross,seriously guys cant believe youre going spend dollars lottery mean thats bunch boohaki
chandler,looking around othersill ask ross boohaki
ross,think emma start talking trying careful words use front
rachel,yeah get ready hear alot ehmboohaki goshdarnit brotherpucker
monica,know shes gon start talking
rachel,well talk almost feel like understands saying
chandler,kinda like joey
joey,wasnt paying attentionwhats
monica,god look tickets exciting know havent anything since sixth grade
chandler,pie eating contest
monica,assume heavy thats way could win something
chandler,saw picture covered blueberries
monica,smilingthat good day
rachel,sure monica takes apart
monica,youre sick
rachel,yes
monica,opens robe revealing nice black dress dressed
rachel,youre sick whatever make feel better closes robe
monica,wan stay home make move joey
rachel,heard
rachel,whispering joey secret days lives party roof sent guys play get rid
monica,aloud
ross,looking whwhats going
monica,joey secret days lives party roof
rachel,didnt want guys know came tell
joey,entering hey packed ready
ross,thats right emma daddy uncle joey going trip today going conference barbados right
chandler,see bank statement could right
monica,knowgod havent seen savings take hit like since kid came doublestuffed oreos happened money
chandler,sure didbut inclined blame
monica,guess internship spending bringing
chandler,maybe quit get job pays
monica,ohbut youre finally something love cant ask give though itd nice thing love wasyknowfinding gold
chandler,know know think making big deal pay bills little late month maybe next month cut back things maybe start eating joeys refridgerator change youre chefwhat make bacon soda beer
monica,worse case scenario iswe borrow money parents
chandler,borrowing money
chandler,hey ready
ross,yeah let finish
joey,hey ross check tries spin basketball fingertip throws table yeah cant
chandler,doin
ross,seen new alumni website college cool post messages people let everyone know youre
chandler,great faster way tell people unemployed childless
ross,actually kinda interesting find people remember andrea rich
chandler,tall girl wouldnt sleep
ross,well internet company went lost ear boating accident
chandler,bet shed sleep
ross,already emailed
joey,dude okay
ross,totally
rachel,ross dont seem okay
ross,wasnt thought would awkward joey never really liked rachel
ross,okay
rachel,thats okay girls tend like
ross,okay guess flan three hey hey rhymed
rachel,know ross think gon take
ross,course god stupid guys couple mean probably want alone
rachel,getting late
ross,hey hey fine totally fine weve got plenty margaritas good
ross,dont even know thats
joey,know think gon stay make sure hes okay
monica,dont take ross
ross,dont think would little weird mean two guys romantic inn
monica,room two beds
ross,browsing brochure guessit still seems littleenthusiastically moonlight boat ride
rachel,hey joey bed olivia lost virginity
joey,dont know one extras sure pause hey listen rach thanks coming watch scenes
rachel,pleasehoney fact want support imoh godis christian sandershes gorgeous
joey,also gay
rachel,head hes done pretty notgaystuff
joey,well christmas party santa definitely gay stuff
joey,wish luck
rachel,need goodgodis chase lassiterhes straight right
joey,rach got sayif werent wondering guys gay dont know could
rachel,sorry youre rightim sorry good luck hug
ross,guess whos keynote speaker national paleontology conference
ross,yeah right last time met submission deadline abstract charlie laugh joey starts laughing without reason well laughing
joey,seeing itd like paleontologist fun yeah
ross,professor sherman yeah ive meeting today
ross,yeah well think know dazzle
rachel,youre gon magic trick
ross,tsz goes sit dropping multicoloured silk streamer sleeve
chandler,entering hey guys
ross,wait minute guys wan ask something may get speak paleontology convention love guys come hear
chandler,think safely say family issues work stuff andor sick
ross,barbados
chandler,come first
joey,bye
joey,thinking
rachel,yeah
joey,lets forget ross
rachel,forgotten
joey,whats wrong
rachel,nothing
rachel,nothing really nothing come come
rachel,sorry uhm cant seem get ross head
joey,well maybe help grabs head passionately closes eyes kisses ross rachels dress realises late pushes rosssrachels head away
joey,yeah really need talk ross
ross,hey
chandler,hey
ross,guys ready
chandler,quite monicas still salon finishing packing
ross,dude youre taking bible
phoebe,cant know feel big massage places theyre putting people like business
monica,wants hunting
rachel,phoebe come dont wan waste would like throwing away hundred bucks
phoebe,money corporate greed destroying hearts leaving hollow shells
rachel,dont care
phoebe,well care friendship
phoebe,feel really strongly rachel please dont use gift certificate asking friend
rachel,friend phoebe fine wont use
phoebe,promise
rachel,promise
phoebe,thank tears gift certificate
rachel,going hunting
monica,entering hey honey missed today
ross,yelling monicatheyre towing car theyre towing car
monica,parked garage morton
ross,pantingtheyre towing car seeingspots
joey,sounding panickyoh god ross dont emma rachel dont emma starts yelling wheres emma emma
rachel,joey relax mother picked two hours ago
joey,yelling anymorei
rachel,dropped casserole
joey,yeah casserole lady
monica,rossso come watch win big bucks
ross,yeah figured win could balcony see night rainbow gremlins dancing top
chandler,hystericaldont touch phone ill get ill get ill get picks phone
ross,monicathink washed hands
chandler,receiverhello hey charlie know
rachel,monicawhats going
monica,chandler supposed find hes getting assistent job agency interns hiring three
joey,ooh tough odds
rachel,professor detective
phoebe,joeys party wasnt gon invite
rachel,yeah every year thats hes sending play thats sent medieval restaurant button factory
phoebe,horrible museum tour
ross,arranged
joey,sounds tired hey guys turning fun
phoebe,know party joey
joey,party
monica,games take robe
joey,looks perplexed opens robe mean
joey,charlie covering nice meet charlie waves hesitantly joey leaves
joey,people hey hey alright hey glad could make shakes mans hand thanks coming
monica,god kyle lowder
monica,yells love
joey,hey thats didnt invite calm alright get drink something
monica,yeah thats want inhibitions lowered
joey,mmhmmh
ross,emma say barbados
joey,barbados
ross,got say mean means much guys coming way hear speech ive surprise pull strings able get everyone passes entire conference thats right gives passes babies get paleontology lectures seminars
rachel,anything would get
chandler,yeah ross mean excited hear speech rest time gon wan know islands stuff
phoebe,think david would probably wan hear lectures
ross,right hes scientist
phoebe,know hes minsk years gets much direct sunlight hell die
ross,got yeah well see guys tomorrow
joey,right lets hour flight charlie couple drinks get blanket comes naturally
ross,blanket joe cloak invisibility
ross,excited look paleontologists
chandler,dont bings theres one thing father taught waswell always knock going poolhousebut thing wasnever borrow money
monica,wow idea much pride
chandler,thats right man going get situation even means working twice hard
phoebe,ohyou dont goi something fit
phoebe,want stay
phoebe,dont turn inside
phoebe,ill miss
phoebe,great okill get tube top
phoebe,wowmike hanniganyou sure know make girl say hell yeah
phoebe,yeah lets lets live together embrace mike kisses phoebe
phoebe,godwere really going move together
phoebe,ive always wanted live guypick socks put toilet seat sex anymore gon fun
monica,hey joey
joey,hey
monica,listeni need know ask youwill never get back chandler
chandler,let see wrote doctor paleontology two kids pause split carol different interests think split carol youve one similar interest
ross,know gon finish later let grab coat
joey,hey throws basketball table
ross,picks ball think learnt last two minutes enters another room
chandler,maybe finish sits sofa start typing ross computer also cloned dinosaur lab shes girlfriend dont care society says best sex ive ever aaand send
joey,stops chandler posting message cant
ross,comes back alright lets
joey,dude opens arms receive ball ross hands
ross,think made clear trusted ball inside house
joey,ross leaves room aaand send hits send button
rachel,hey basketball
joey,lot fun right chandler got finger eye
joey,chandler hey goes towards room stops near emmas cot rach whats hugsy doin crib emma looks puzzled
rachel,crawling around found let sleep thats right isnt
chandler,hey
joey,hey
joey,wheres monica
chandler,shes home putting decoration rachels birthday party tonight
joey,helping
chandler,try butapparently singing survive helium voice helping
ross,hey guys
joey,hey
rachel,shhhhdont say loud gunther gon wants hug mechandler joey nod agreement
rachel,yeah thats probably good idea
joey,yeah ill see morning
rachel,uhhuh okay know joey dont think hes ever gon okay
joey,doesnt look good
joey,morning
ross,thanks stay night
joey,yeah
ross,took pants shoes
joey,actually dancing chicagosoundtrack look ross rachel listen dont worry okay nothing gon happen
ross,mean
joey,well said beginning werent gon anything unless okay clearly
ross,hey talking fine
joey,okay ross alright totally understand course youre fine youre youre ross rachel
ross,except mean havent couple like six years god right long
joey,thats hear yeah
ross,crazy mean six years guys arent gon together ask something really thing rachel
rachel,watching television scene shown startled
rachel,ssshhhhttthes asking question
rachel,pause cutyou know thats call
monica,thank
monica,thank youshe looks customer waiting compliment havent said anything
monica,ohpleaseii welcome criticism
monica,musician
phoebe,playing guitar singing theres country called argentinaaaa place ive never seeeeen told fifty pesos buy human spleen humaaan spleeeeen
phoebe,well said customers lined street entertain
monica,great
phoebe,yeah really great know people must seen play requesting bunch songs yeah suck shut home
monica,listen phoebe
rachel,bye see goes
chandler,sitting couch
joey,right fertility clinic
chandler,much fun last time apparently get porn youre giving sperm sample
ross,soso doctor say
chandler,well theres surrogacy monica dreamt whole life carrying child felt watching surrogate would hard
joey,youre ruling surrogacy
chandler,yeah
joey,dont learn means
chandler,aside adoption choice insemination talking sperm donors
joey,enough said man upstairs
chandler,stopping joey ahha
ross,feel
chandler,wish easier way child dont think one
joey,come ross good guy step
ross,puzzled
chandler,youre supposed take besides new testament gon
ross,learn jesus
ross,hey
ross,couldnt find gon talk plane
ross,stop
ross,youre filthy
phoebe,hey guys seen monica
ross,actually think went salon
phoebe,yeah went salon alright
monica,check
phoebe,whos day got better chandler
chandler,hey aaaaaahhhh
monica,think
chandler,think think see scalp
chandler,yeah
monica,yeah kiss dyou wan tonight
chandler,well maybe could sweeps stuff table wordlessly invites monica sex
monica,trying turn making mess know audience besides tomorrow fertility tests need keep tadpoles tank
chandler,really need take tests
monica,honey weve trying baby year think good idea find everythings routine tests
chandler,dont wan cup
monica,big deal
chandler,weird doctors office
monica,doctors office parked car behind taco bell
chandler,embarrassed believe ross told pause defense wendys
monica,look dont wan test either really think good idea
chandler,yeah sure doctors office cant worst class trip hersheys factory
monica,really embarrassed
chandler,yeah rachel talks
joey,sipping red wine glass says wine cost milk
ross,mockinglyyeah sure thing like state lottery
joey,smilinglook whos coming around
chandler,still phonedamnit alright call know
joey,exciteddid get
chandler,one slots got filled
joey,still excitedby
chandler,sense tone kid nate got
monica,hate guy mean come kid pull pants
chandler,yeah know
rachel,well theres two spots left right
chandler,yeahi mean want much mean wan get one want friend charlie get oneexcept dont care charlie
phoebe,excitedhey guys youre going believe saw psychic said definitely gon win lottery tonight
monica,hey reminds thought could use extra luck brought wishbone home work
ross,mockinglya psychic wishbone guys give someone else chance
monica,alright wants
phoebe,vegetarians never get wishbone really fair either know dont eat meat doesnt mean dont like play carcasses
monica,hey rach
phoebe,hey
monica,excited god believe surrounded barely control
phoebe,monica might want remember married chandler anyway looks around
monica,shocked god chandler
chandler,hell everybody
monica,rachel hey joey said autographs shes gettting one want one monica none best wishes crap want love
rachel,actually mon matthew giving phone number
monica,man known coming party never would gotten married
rachel,nice meet
monica,yelling
monica,rachel look guys
rachel,yeah
monica,guess forgotten joey
rachel,yeah well guess forgotten joey clearly youve forgotten chandler
monica,please chandler love life point man leather pants walks oooh leather pants mercy follows man leather
joey,know gon pasty folks pool tomorrow woman goes towards
joey,charlie think ive recognized happens time
joey,never happens
ross,wow flattering
ross,sure dear takes notepad
ross,sarah dig doctor ross geller
ross,yeah sarah like introduce colleague professor wheeler aand joey tribbiani
joey,god actor youd probably recognize little show called days lives
ross,dude days lives theres
joey,thinking hes kidding ross fun yeah play doctor drake ramoray
joey,dont whats furniture pointed
monica,david help trying explain chandler plane stays air
monica,chandler see
chandler,yeah thats something wind
monica,alright gon pick things trip
joey,lying said havent thought myselfchandler best friendit would wrong goodhe winksbut wrong
joey,awwwi dont know monicayou knowermlending friends money always mistake
monica,chandler lent money
joey,think would tell mistake
monica,come oni need rent andand bills
joey,ohhow much
monica,two thousand dollars
joey,two thousand dollars think soap oprea star
monica,yeah
joey,thats right opens drawer rummages rachel enters
rachel,guys
joey,oowhats bag
rachel,erwell know emma started crawling realised place unsafe baby went store got stuff babyproof apartment
joey,ohbabyproofingwhy big deal yknowwhen kid like whoops joey fell stairs whoops joey electrocuted huh
monica,anyway ermare going get handyman install stuff
joey,still puzzled yeah course yeah stuffed animal know kids adults know
rachel,joey sure mean know much love
joey,rachel lets clear love hugsy like normal amount
rachel,right emma loves
joey,wouldnt hes wonderful person
monica,hey phoebe doin feelin better
phoebe,breaking sucks really miss mike
chandler,sorry
phoebe,god tried everything make feel better even tried writing song cant think anything rhymes aarrgghh pause hey monica really need help getting
chandler,youre gon need help
phoebe,well get point know ready hear cruel mocking jokes mike gon come
chandler,good cause ive already thought ive thought fourth goes towards counter
phoebe,mean know right thing know mike never wants get married shouldnt relationship future pretty soon gon miss much gon wan see stop
monica,got
chandler,yeah thats lot cats jolene single
chandler,chandler bing
joey,phone hey come youre answering phone wheres crazy assistant
chandler,whats joe
joey,okay wanted always together
chandler,braid others hair ride horseback beach
joey,get home tomorrow night gon wizards knicks game courtside
chandler,courtside god
chandler,hey
ross,yeah yeah sure look wecan talk happened last night
chandler,sure give second get huffy weird like believe ever
ross,youyou really dont know talking
ross,last night party saw rachel kissing jerk office balcony
chandler,balcony seriously thats funny told monica put lights balcony said
ross,right thats came talk humi saw rachel kissing guy balcony
chandler,gonnatalk
chandler,hey
monica,good morning tiger making nice big breakfast keep strength tonight youre gon get good pregnant
chandler,ive got nowhere morning unemployed dont know gon life
monica,well lost erection
chandler,mean supposed
monica,youre supposed find passion life whatever wan exciting
chandler,overwhelming dont know start
monica,hey wait second help need organized make list qualifications categorize jobs industry could folders files
ross,errgood news everyone finally found nanny point mollythis molly molly point chandler chandler point joey joey
ross,looking emma oop somebody get little fussy
joey,damn right ive waiting cookies minutes
rachel,know gon take outside
rachel,wow molly great
ross,yeah
chandler,yes bravo hot nanny
rachel,really think hot
chandler,kidding wasnt married would rejecting right
rachel,joey
joey,looking molly outsidehow think shes
rachel,one doesnt think hot ross
ross,nehhi mean shes unattractive buthotmaking face saying
rachel,thank
chandler,rachels gone
joey,come mean know know
ross,joey
joey,crazy
ross,feels way
joey,think
ross,well maybe time moved
joey,yeah ross mean youre okay
ross,wan hey besides charlie right god still charlie arent mean didnt see dance
joey,sure
ross,yeah sure
joey,okay
monica,hey phoebs
phoebe,hey
monica,uhm wan give headsup bill colleen hate
chandler,owen didnt know adopted monica told
phoebe,yeah
monica,know much love listening music know
monica,kind classy place
phoebe,pause say
phoebe,fancy dress still playing singing wasnt fat woman smelled like garbage everyone wasnt fat woman smelled like garbaaaaaage monica showing dress classy
chandler,chandler bing reservation
chandler,new york
ross,strange voice eating candies big apple
chandler,sorry hes little bit wound stop every maple candy stand way
ross,yeah ate gifts everybody
chandler,well thats impossible check please
ross,high pitched voice check please
chandler,let get straight called yesterday trying cancel reservation told refundable drove six hours way tell dont reservation
ross,looking astonished going give ben
ross,data receiving mri scans dna testing fossils staggering
ross,reading notepad mean weve accepting leakeys dates given theyre even hundred thousand years throw assumptions know right trash throws notepad waste bin soso saying picks notepad back waste bin repercussions could huge mean palaeontology ifif think evolutionary biology genetics geology mean truly mind boggles
ross,thats want
phoebe,ill take
rachel,pheebs thats men
phoebe,know way party later mike know cause gon smell like another guy shop assistant yeah
phoebe,good dating russian cab driver shop assistant seriously anyone buy smell like beets
rachel,melanie griffith working girl think want
rachel,really
rachel,cant iive seen
rachel,yeah big fan movies know motion pictures talkies
phoebe,picks dress hey rach come dressing room
monica,dont love
ross,yeah yeah got shellfish head
ross,youve never said life
ross,thought
monica,listen shakes body shells tingle
chandler,dya know treat eyes ears
joey,whoo whoo wow uhm kinda weird sitting next charlie broke
chandler,yeah almost air barbados doesnt care social life
joey,look someone mind switching sit charlie
ross,mean dude spent whole conference charlie
joey,understand
ross,ill quickly grabs joeys boarding pass gives joey one
chandler,wish could switch someone really dont wan sit allen iverson
phoebe,uhm know air captain turns seatbelt sign feel free roam cabin
phoebe,aaah youre good
joey,heeey
joey,come
joey,offer drink
joey,uhoh hade pretty hectic day work today open door looking scared ohhhh
joey,hey need tour guide point
joey,yeah definitely definitely wan see first
joey,looking puzzled nodding
joey,know yeah
joey,let stop right mets suck wan see yankees
joey,one suck
joey,looking puzzled dont think
rachel,receptionist
rachel,massage appointment rachel green gift certificate
rachel,taped back together
rachel,good dont wan get turkey smell hands
joey,ill itll get casserole stink mine
phoebe,hope win
monica,well doesnt really matter youre wishing thing right
joey,cant tell wishing elseyou knowwont come true
monica,right know youre wishing
joey,cant really say
monica,understand youre wishing think youre wishing arent
joey,slightly irritatedim really comfortable questions
phoebe,one two three
joey,hey
ross,know sure wish gon come true guys case maybe genie come rub lamp rubs lamp stops hot thing gets hot
rachel,know ross keep making jokes gon feel actually win
ross,youre gon win
rachel,know know odds somebody win could gon feel know gon like everybody lets take helicopters cape youre gon like cant guys ill meet guys got gas hyundai
ross,charlie probably gon hard leave boston huh
ross,ooh sad still cant easy leave harvard especially working alongside nobel prize winner like albert wintermeyer
ross,dated albert wintermeyer
ross,called alby laughs mean thats like like calling albert einstein alby
ross,think mean went guy improved accuracy radiocarbon dating factor
ross,interested like charlie looks confused smiling sorry dont mean pry must regular people experience watch access hollywood
ross,intimidating guy nobel prize
ross,little suprised two wha dont tell dated benjamin hobart
ross,god ever relationship someone hasnt nobel prize
ross,yeah nobel prizes
ross,huh huh loser wine takes halffull glasses goes counter
phoebe,hey ross
ross,sarcastically great finish wine going blow averagesized brains
phoebe,tomorrow guys wan share cab airport mike meet
phoebe,mike whos mike
phoebe,thats right yeah well ive totally forgotten thatsthats blast past
phoebe,really doesnt mean anything mean know monica refers chandler richard time
chandler,upset
monica,pinching lets get outside
monica,least took
phoebe,sooo sorry keep thinking mike crazy david much fun together whywhy miss mike thatsthats gon away right
monica,guess time
phoebe,yeah
monica,mean feelings richard certainly gone
phoebe,chandler feelings chandler certainly gone
chandler,wouldnt read much
chandler,david let stop cause think see going good giving advice want advice ross monica joey thing wan advice pizza toppings burning sensation pee
chandler,seriously gon
rachel,going joey makes sarcastic laugh
joey,youre gon
rachel,yeahwhy dont think woman
joey,ohwomen youcant
rachel,monicawould please tell joey pig
monica,youre pig cant
rachel,wha come found hardware store
joey,hardware store right street
rachel,hardware store right street
phoebe,hey guys okweve got great news
phoebe,know exciting know ive never lived guy
monica,well know like living girl dont steal makeup unlesstheyre playing sister would look likelooks chandler
chandler,yeahshes cute
phoebe,okwell put toilet seat
monica,bit guys
phoebe,pause unless maybe crazy alright know future doesnt mean still cant fun know forget said
monica,really thats want
phoebe,test failed
monica,damn rookie mistake
ross,yelling chandler sex dinosaurs
chandler,believe read somewhere
ross,funny physically impossible depending species six foot long pause funny
chandler,respectfully disagree
ross,cant believe put alumni page
chandler,cares nobody reads things
ross,youd better hope read put page today
chandler,dont page
ross,respectfully disagree
joey,look sweet innocent sleeping like angel emmas chubby little hands wrapped around picks hugsy okay emma stay asleep emma cries
rachel,threatening joey scrunchy step away crib weapon
joey,yeah maybe michael jordan dive ball break jaw knee
chandler,cool ill let monica know
monica,hello
chandler,joey called hes got courtside knicks tickets tomorrow night
monica,really tomorrow nights one get restaurant game wont another night together week
chandler,butt courtside cheerleaders gon right mouths last words monica hear thats way convince
monica,look dont want one wives says cant game spend time realize
chandler,iii know youre right wan see ive got figure way tell joey hes really looking forward
monica,phone tell havent seen wife long time apartment tell longdistance relationship really difficult tell thatwhat little time precious
chandler,yeah yeah yeah ill think something
ross,wow lookerhmi mean theerthat dress
rachel,hope ends sentences good
ross,notheyre good long since ive seen like clean good
rachel,ahh looks well thank haha ross continues stare rachel okay stop looking like last time happened pointing towards rosss crotch happened pointing emma
ross,whywhy mean wants move thats fine
chandler,know thats fine sounds true someone yells spits
ross,serious mean wants date people fine dont care butat least could told know
chandler,good youre moving idea youre moving
ross,dont know mean plenty opportunity women coffee house smiled
chandler,dude dont rub face crazy single life
ross,well anthropologist school totally came interdepartmental
chandler,get married
joey,hey let ask guys something new headshot taken tomorrow right photographer said thinks
phoebe,well depends
phoebe,far along hes sex change process
monica,totally disagree think fine guy something like actor need
joey,stop guys stop staring youre freaking
phoebe,sprang sleigh team gave whistle away flew like thistle heard exclaim ere drove sight merry christmas goodnight
joey,impressed wow great really wrote
phoebe,smiling uhhuh
chandler,coming bedroom say goodbye elves tulsa
monica,hey hon would help get plates
chandler,yeah hey heres idea dont use wedding china today
monica,think save china something really speciallike queen england comes
chandler,honey keeps cancelling ustake hint
monica,something gets broken theyre expensive
chandler,point never use
monica,okbut something gets broken queen comes
chandler,explain
monica,yeah like going let talk queen
chandler,hey hyperorganizedpainintheass stuff pays
monica,know erection back
joey,gunther comes coffee muffin thank
phoebe,joey sip coffee bite muffin
joey,okay
joey,pheebs ever bitten hungry italian
phoebe,sorry little short cash
joey,want could loan money
phoebe,learned never borrow money friends thats richard dreyfuss dont speak anymore
joey,hey wan extra show
phoebe,could
joey,yeah yeah pay pretty good could long need
phoebe,god gon
joey,okay got tell isnt glamorous exciting think
phoebe,really
joey,awesome
ross,guys
ross,hot cried sleep last night
phoebe,hey mike capital peru
phoebe,hmmit starts end hopefully middle
phoebe,looks relieved yeah know thats bob
phoebe,well much pet know occasionally visitor put food foryou knowkinda like santaexcept santa doesnt poof plate cookies
phoebe,fine means much ill get rid bob
phoebe,weird think hes gross yet youre willing eat crackers mike desperately tries get rid crackers mouth uses hand clean tongue
rachel,hello
rachel,gavin want say thanks watching emma yesterday presentation really owe apology
phoebe,still find sometime
chandler,yeah would like someone told triplets gave birth
chandler,gon tell emma accident runs
ross,mumbling doesnt know say
chandler,give cheapest room
chandler,thats insane
ross,totally insane dude lets drive home well hit maple candy stores way back ifif theyre closed maybe well tap tree make
chandler,room closet lock pause well take
chandler,aside ross totally ripping
ross,dude dont worry bout know make money back nice hotel know plenty amenities load like apples instead taking one take six
chandler,great hundred dollars apple
ross,cmon get idea owowow well make money back time
chandler,dude youre shaking
ross,think sugar could hold apple
joey,hey
rachel,joey got tell ive thinking day scene mean amazing
joey,know writing good director good costars good theyre good
rachel,god tell happens tomorrow
rachel,sure
rachel,know depends ive done lot stuff
phoebe,like charlie
rachel,shes dont get really good vibe
rachel,dont know know way waltzed smart tall know swept joey feet mean nobody else chance
phoebe,else
rachel,anybody know monicas mom
phoebe,like joey
rachel,shhhhh phoebe right look little thing
phoebe,whispering god
rachel,physical totally control see together sometimes get little jealous
phoebe,wow isnt ironic liked like
rachel,annoyed get
phoebe,well long control know cant anything hes already dating nice person wouldnt right
rachel,know know big deal
phoebe,think come saturday right
phoebe,date
phoebe,lets hand girlfriend
phoebe,long
phoebe,three months okay probably none business uhm long think youre gon keep seeing
phoebe,okay good get home maybe therell special delivery package waiting
phoebe,know gon sex lets leave
ross,right gon talk joey think right time hes always good mood flight attendant says duty free
rachel,ross coming think would really good time talk
joey,guess really nervous
rachel,okay well keep mind time youre done theyll probably serving dinner
joey,ooh
rachel,still nervous
rachel,imitating receptionists tone glass doors
rachel,alrighty
phoebe,talk like theyre around sees rachel listen someone fill
phoebe,woman cant know work shes friend mine made big stink awful massage chains
phoebe,cause good money doesnt change fact evil blood sucking corporate machine
phoebe,watching around whispering listening
joey,ross
joey,need talk charlie
ross,annoyed really
joey,yeah kind little problem
ross,look dont know word acrimonious means dont use
joey,look know charlie right shes cool shes funny body soo
ross,get problem
ross,ive heard tape sound nothing like
chandler,see headline lottery winners friend filled regret eats arm
ross,would eat arm
chandler,well wouldnt paper print whatever want
monica,know ross gon throw bucks
monica,know think lottery boohaki gon watch numbers fun youre brother want part
ross,dont ill pay fact want fun guys thats sweet come kiss hug
phoebe,get room
chandler,youre gon win
ross,dont know probably invest
chandler,ooh calm
joey,seriously thats fantasy invest
ross,sorry say invest meant cool piss away joey chandler pleased
joey,ooh ooh know pool money buy knicks
rachel,dont really care knicks
phoebe,whats matter
ross,dates geniuses nobel prize winners god chinese restaurant earlier today put chopsticks mouth pretented woolly mammoth
rachel,always loved
ross,course would brains smaller mine rachel nods man cant compete guys goes league god
phoebe,worse
ross,much much worse impression joan rivers one earliest amphibians gestures hands says impression voice walk phoebe starts laughing like
phoebe,still laughing points rachel stuck two straws mouth look like mammoths tusks
ross,turns around look rachel
rachel,come think funny ross leaves
chandler,yes god yes
chandler,dont know seem lovely
joey,hey ross one costars dirk dirk dirk good friend ross ross dirk shake hands
ross,nice meet
ross,actor professor palaeontology
joey,science
joey,hey ross listen dirk wondering woman brought guys together
chandler,penis big notices david amused sorry thats kind thing pause broke mike didnt want get married hey let phoebe know youd open marriage
chandler,didnt mean
chandler,well youre welcome glad could help
chandler,david pretending read
joey,yeah doin yeah alright
joey,hey hey said youre gon wear thong wheres thong
joey,really clear
ross,hey
joey,hey
ross,excited youre never going guess saw downstairs
joey,britney spears
phoebe,huhwere playing two
monica,dont tell dont
chandler,yes dear
ross,cant believe guys moving together thatsthats great meanim happy guys
monica,hear wedding bells
phoebe,monica slow excited living know meani dont knowcan see someday married mike sure yeahyou knowi picture walking aisle wedding dress highlights breasts obvious yet classy way want house connecticutyou knownear good schools mike send sophie mike junior god
ross,phoebei idea conventional
phoebe,know guess god load volvo want soccer mom
phoebe,yeah bet roomy
monica,dont meangroomy
phoebe,pleasethese guyswe havent even moved yet picking china patterns mike seems gag littleand laughs nervously begin leave phoebe bolts back
phoebe,china patterns
rachel,easycant moves awayand finds sweater sleeve stuck drawer
rachel,wow seriously cant fiddles
chandler,hey joe
joey,hey
joey,okay okay rach put scrunchy
joey,well heard emma stirring came make sure could reach hugsy
rachel,thanks alright well going bathroom
joey,placing hugsy back crib sweetie emma isnt
monica,alright wait second would ross tell everyone class reads screen gay day long
chandler,told everyone slept dinosaurs
monica,thats clearly joke could easily true phone rings
chandler,would get please people calling congratulate day
monica,phone hello hes yeah wife yeah well came quite shock guess known yeah mean kept making watch moulin rouge
chandler,hang hang great movie monica hangs gon get back ross yeah show starts typing something
chandler,youll see friend
ross,visibly upset dead
chandler,faking sympathy young
ross,posting died really isnt funny
chandler,picking telephone answering frog throat hello clears throat still frog throat speaks hello
monica,apartment screaming love new job
chandler,honey youre screaming
monica,bet ass best first day ever kitchen twice big allessandros
chandler,yawning thats great
monica,yeah aaand clean health department clean monica clean
chandler,clearly interested awesome
monica,people nice theres one guy geoffrey hes maitre chandler love without doubt funniest guy ever met chandler almost asleep sits straight bed instant cant believe heard
ross,right looking away
ross,excited yourerfirst night away emma
rachel,yeah phoebe gon much fun thank watching baby way
ross,fine actually invited mike
rachel,phoebes mike
ross,yeah
rachel,didnt know guys hung
ross,dont thought would nice get know know little dinner drinks conversation
rachel,awww thats cute ross mikes first date beat going awkward guys gon talk
ross,well know lot common know ermhe plays piano played keyboards college hes divorced havesomeexperience area
rachel,yeah
phoebe,ooh youre first night indeed
rachel,okay think emma properly night need anything rosspointing finger chest
ross,rach rach rach well fine fun
rachel,okay hope score
rachel,bye mike
phoebe,hey guys couldnt get reservation night birthday dinner thursday night instead
joey,thursday thats halloween
joey,spooky thats
ross,mike coming dinner
phoebe,first birthday boyfriend work uch get mad think little soon show true colors
rachel,pheebs would make reservation five one stay home watch emma ross one dinner
phoebe,rachel
ross,actually thinking maybe could
phoebe,yay
ross,thanks put lot extra thoughts gift
phoebe,knuckles kinda hairy
joey,man get done
phoebe,wow talking high maintenance
joey,hey hey dye hair
phoebe,woman
joey,arghhh double standards
phoebe,forget coming mikes piano bar tonight
monica,dont get sing
phoebe,everybody sings much fun last time adorable old man got forgot words flipped
monica,good singing
phoebe,whats matter scared youre afraid better singer youre afraid gon beat singing
monica,working wow must growing
phoebe,fine please come support mike dont sing
monica,dont sing sit pass judgments others
phoebe,drinking
rachel,guys listen really need help think something really stupid
monica,cant believe youre gon christmas
ross,youre really coming back
chandler,yeah paperwork needs filed end year dont get done ill fired
monica,unfair dont even like job
phoebe,like job
joey,love job
rachel,yeah cant wait back work
ross,cant get enough dinosaurs
chandler,sorry wont
monica,hard enough seeing week christmas alright understand
chandler,thanks kiss ill see new years day
monica,shocked youre gon new years eve
chandler,mention
chandler,thinks second waves arms exclaiming good night runs apartment
joey,wow parade really good yearman horses crap looks sideways disgust
chandler,muskogee thats like four hours tulsa woo hoo
joey,god
chandler,arent one stars popular daytime soap days lives
joey,yeah forgot supposed cant believe forgot usually write stuff like arm
joey,stupid long sleeves
chandler,going
joey,sighs guess going come really good reason wasnt producer going mad mehe sat yesterday said everyone six sharp means tribbiani shrugs like kind idiot
chandler,well proved wrong
joey,yeah
rachel,emmathis first thanksgivingwhat thankful mommys boobies
ross,alot people thankful
rachel,hide rings
rachel,hey amy happy thanksgiving
rachel,ermhi opens arms wide embrace
phoebe,wow hey dressed
ross,rachel bringing emma ralph lauren today introduce everyone doesnt look cute
joey,sure pink bow taped head
rachel,well one person says cute little boy gon whip car antenna
ross,think shes gon hit office huh shes gon hotter peasant blouses aline skirts get blue bow
